,시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,시군구,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,위도,경도
0,B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,서울특별시,송파구,서울특별시교육청,공립,5678,서울특별시 송파구 송이로 42,(송파동/가락고등학교),02-416-4658,http://garak.sen.hs.kr,남여공학,02-421-9669,일반고,N,일반계,,후기,주간,19881223,19890428,37.5010757915029,127.116425831354
1,B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,서울특별시,서대문구,서울특별시교육청,공립,3709,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,남여공학,02-307-6605,일반고,N,일반계,,후기,주간,20130301,20130501,37.5743637013203,126.909529666957
2,B10,서울특별시교육청,7010117,강동고등학교,Kangdong High School,고등학교,서울특별시,강동구,서울특별시교육청,사립,5279,서울특별시 강동구 구천면로 572,(상일동),02-427-0231,http://kangdong.sen.hs.kr,남여공학,02-441-3494,일반고,N,일반계,,후기,주간,19841217,19850908,37.5499166487971,127.160668324892
3,B10,서울특별시교육청,7010118,강서고등학교,Gangseo High School,고등학교,서울특별시,양천구,서울특별시교육청,사립,7958,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),02-2642-0725,http://gangseo.sen.hs.kr,남,02-2651-3046,일반고,N,일반계,,후기,주간,19831101,19831101,37.5363155693554,126.865771125825
4,B10,서울특별시교육청,7010270,강서공업고등학교,Gangseo Technical High School,고등학교,서울특별시,강서구,서울특별시교육청,공립,7514,서울특별시 강서구 방화대로47길 9,(방화동/강서공업고등학교),02-2666-2106,https://gangseo-th.sen.hs.kr/,남여공학,02-2666-2161,특성화고,N,전문계,,전기,주간,19940105,19940105,37.5760340875363,126.816181657979
5,B10,서울특별시교육청,7010958,강일고등학교,GANGIL HIGH SCHOOL,고등학교,서울특별시,강동구,서울특별시교육청,공립,5213,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,남여공학,02-428-6810,일반고,N,일반계,,후기,주간,20100301,20100404,37.5638280994729,127.177903473129
6,B10,서울특별시교육청,7010058,개포고등학교,Gaepo High School,고등학교,서울특별시,강남구,서울특별시교육청,공립,6324,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),02-576-3333,http://www.gaepo.hs.kr,남여공학,02-571-6560,일반고,N,일반계,,후기,주간,19870512,19870512,37.4849602867225,127.059406502269
7,B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,Konkuk University High School,고등학교,서울특별시,광진구,서울특별시교육청,사립,5029,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),070-7012-3500,http://konkuk.sen.hs.kr,남여공학,02-456-0646,일반고,N,일반계,,후기,주간,19800131,19800515,37.539182674872,127.074711902268
8,B10,서울특별시교육청,7010059,경기고등학교,Kyunggi High School,고등학교,서울특별시,강남구,서울특별시교육청,공립,6086,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),02-3496-7300,http://kyunggi.hs.kr/,남,02-3496-7497,일반고,N,일반계,,후기,주간,19001003,19001003,37.517564539911,127.056075505663
9,B10,서울특별시교육청,7010271,경기기계공업고등학교,Gyeonggi Mechanical Technical High School,고등학교,서울특별시,노원구,서울특별시교육청,공립,1810,서울특별시 노원구 공릉로 264,(하계동),02-2289-1600,http://www.ggmt.hs.kr,남여공학,02-978-4327,특성화고,N,전문계,,전기,주간,19570215,19570215,37.6322400488783,127.074928451599
10,B10,서울특별시교육청,7010272,경기상업고등학교,Gyeonggi Commercial High School,고등학교,서울특별시,종로구,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로 136,(청운동),02-737-6490,http://ggc.sen.hs.kr,남여공학,02-722-0504,특성화고,N,전문계,,전기,주간,19230206,19230514,37.5892585316989,126.970057092906
11,B10,서울특별시교육청,7010060,경기여자고등학교,Kyunggi Girls’High School,고등학교,서울특별시,강남구,서울특별시교육청,공립,6324,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),02-573-6797,http://www.kgg.hs.kr,여,02-575-1157,일반고,N,일반계,,후기,주간,19080401,19080401,37.4869571488922,127.066101597746
12,B10,서울특별시교육청,7010061,경동고등학교,Kyungdong High School,고등학교,서울특별시,성북구,서울특별시교육청,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2353,www.kyungdong.hs.kr,남,02-926-7525,자율고,N,일반계,,후기,주간,19400416,19400416,37.5866013303355,127.01603168441
13,B10,서울특별시교육청,7010120,경문고등학교,Kyungmoon High School,고등학교,서울특별시,동작구,서울특별시교육청,사립,6995,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),02-535-1301,http://kyungmoon.hs.kr/,남,02-535-1230,일반고,N,일반계,,전기,주간,19800124,19800507,37.4934188575707,126.982273400501
14,B10,서울특별시교육청,7010062,경복고등학교,Kyungbock High School,고등학교,서울특별시,종로구,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),02-397-5301,http://kyungbock.sen.hs.kr,남,02-736-0422,일반고,N,일반계,,후기,주간,19210502,19210502,37.585945671102,126.971510913077
15,B10,서울특별시교육청,7010835,경복비즈니스고등학교,Kyungbok Business High School,고등학교,서울특별시,강서구,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://www.kbb.hs.kr,여,02-3661-8372,특성화고,N,전문계,,전기,주간,19721002,19721002,37.5580972589988,126.852670273321
16,B10,서울특별시교육청,7010122,경복여자고등학교,Kyungbok Girls’ High School,고등학교,서울특별시,강서구,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),02-3661-1741,http://www.kb.hs.kr,여,02-3661-3795,일반고,N,일반계,,후기,주간,19931002,19931002,37.5578218303652,126.850595718037
17,B10,서울특별시교육청,7010124,경성고등학교,Gyeongseong High School,고등학교,서울특별시,마포구,서울특별시교육청,사립,3977,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),02-3140-1168,http://www.gyeongseong.hs.kr,남,02-334-7533,일반고,N,일반계,,후기,주간,19671229,19671023,37.563510635781,126.919166278819
18,B10,서울특별시교육청,7010125,경신고등학교,Kyungshin High School,고등학교,서울특별시,종로구,서울특별시교육청,사립,3067,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0393,http://kyungshin.hs.kr,남,02-762-0387,일반고,N,일반계,,후기,주간,18850509,18850509,37.5922022663657,126.999531005507
19,B10,서울특별시교육청,7010563,경인고등학교,Kyeongin High School,고등학교,서울특별시,구로구,서울특별시교육청,공립,8275,서울특별시 구로구 경인로46길 31,/ 경인고등학교 (고척동),02-2618-3043,http://kyeongin.sen.hs.kr,남여공학,02-2618-3093,일반고,N,일반계,,후기,주간,20020301,20020516,37.4959926823743,126.86542887783
20,B10,서울특별시교육청,7010698,경일고등학교,Kyungil High School,고등학교,서울특별시,성동구,서울특별시교육청,공립,4779,서울특별시 성동구 성수일로 27,/ 경일고등학교 (성수동1가),02-463-3520,http://kyungil.sen.hs.kr,남여공학,02-463-4072,자율고,N,일반계,,후기,주간,20040506,20040506,37.5438298177401,127.047868294458
21,B10,서울특별시교육청,7010126,경희고등학교,Kyunghee High School,고등학교,서울특별시,동대문구,서울특별시교육청,사립,2447,서울특별시 동대문구 경희대로 26,(회기동/ 경희고등학교),02-966-3782,http://www.kyungheeboy.hs.kr/,남,02-962-3643,자율고,N,일반계,,전기,주간,19591212,19591212,37.5939491407769,127.054890960564
22,B10,서울특별시교육청,7010127,경희여자고등학교,Kyung Hee Girls’High School,고등학교,서울특별시,동대문구,서울특별시교육청,사립,2447,서울특별시 동대문구 경희대로 26,/ 경희여자고등학교 (회기동),02-966-4560,www.kyunghee.hs.kr,여,02-967-2429,일반고,N,일반계,,후기,주간,19600209,19600415,37.5939491407769,127.054890960564
23,B10,서울특별시교육청,7011312,계성고등학교,Gyeseong High School,고등학교,서울특별시,성북구,서울특별시교육청,사립,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,남여공학,02-776-7086,일반고,N,일반계,,후기,주간,19440908,19440908,37.6074935996761,127.020183575106
24,B10,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,Korea University High School,고등학교,서울특별시,성북구,서울특별시교육청,사립,2708,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,http://koreahi.hs.kr,남,02-942-0732,일반고,N,일반계,,후기,주간,19680311,19680311,37.607838568731,127.002830184796
25,B10,서울특별시교육청,7011487,고명외식고등학교,Komyung Food Service High School,고등학교,서울특별시,성북구,서울특별시교육청,사립,2828,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,남여공학,02-924-6059,특성화고,N,전문계,,전기,주간,19560221,19560221,37.5976746822279,127.019186925653
26,B10,서울특별시교육청,7010063,고척고등학교,Gocheok High School,고등학교,서울특별시,구로구,서울특별시교육청,공립,8239,서울특별시 구로구 중앙로15길 162,/ 고척고등학교 (고척동/ 고척고등학교),02-2616-9813,http://gocheok.sen.hs.kr,남여공학,02-2615-7802,자율고,N,일반계,,후기,주간,19841215,19841217,37.5080493827144,126.849869103403
27,B10,서울특별시교육청,7010064,공항고등학교,Konghang High School,고등학교,서울특별시,강서구,서울특별시교육청,공립,7597,서울특별시 강서구 방화대로34길 43,(마곡동/ 공항고등학교),02-2664-6874,http://www.konghang.hs.kr,남여공학,02-6309-3919,일반고,N,일반계,,후기,주간,19821130,19830412,37.5704610944881,126.81851983357
