,학교명,경감지표_cluster,경감지표_score,경감지표_학교폭력위험도
0,가락고등학교,0,-20,매우 안전하지 않음
1,가재울고등학교,0,-20,매우 안전하지 않음
2,강동고등학교,0,-20,매우 안전하지 않음
3,강서고등학교,1,-100,매우 안전
4,강서공업고등학교,3,-40,안전하지 않음
5,강일고등학교,2,-80,안전
6,개포고등학교,0,-20,매우 안전하지 않음
7,건국대학교사범대학부속고등학교,3,-40,안전하지 않음
8,경기고등학교,1,-100,매우 안전
9,경기기계공업고등학교,0,-20,매우 안전하지 않음
10,경기상업고등학교,0,-20,매우 안전하지 않음
11,경기여자고등학교,0,-20,매우 안전하지 않음
12,경동고등학교,2,-80,안전
13,경문고등학교,4,-60,보통
14,경복고등학교,2,-80,안전
15,경복비즈니스고등학교,3,-40,안전하지 않음
16,경복여자고등학교,3,-40,안전하지 않음
17,경성고등학교,2,-80,안전
18,경신고등학교,1,-100,매우 안전
19,경인고등학교,0,-20,매우 안전하지 않음
20,경일고등학교,4,-60,보통
21,경희고등학교,3,-40,안전하지 않음
22,경희여자고등학교,3,-40,안전하지 않음
23,계성고등학교,3,-40,안전하지 않음
24,고려대학교사범대학부속고등학교,0,-20,매우 안전하지 않음
25,고명외식고등학교,4,-60,보통
26,고척고등학교,4,-60,보통
27,공항고등학교,0,-20,매우 안전하지 않음
28,관악고등학교,0,-20,매우 안전하지 않음
29,광남고등학교,3,-40,안전하지 않음
30,광문고등학교,0,-20,매우 안전하지 않음
31,광성고등학교,0,-20,매우 안전하지 않음
32,광신고등학교,0,-20,매우 안전하지 않음
33,광신방송예술고등학교,0,-20,매우 안전하지 않음
34,광양고등학교,4,-60,보통
35,광영고등학교,2,-80,안전
36,광영여자고등학교,2,-80,안전
37,광운인공지능고등학교,4,-60,보통
38,구로고등학교,4,-60,보통
39,구암고등학교,0,-20,매우 안전하지 않음
40,구일고등학교,0,-20,매우 안전하지 않음
41,구현고등학교,2,-80,안전
42,국립국악고등학교,1,-100,매우 안전
43,국립전통예술고등학교,4,-60,보통
44,금옥여자고등학교,0,-20,매우 안전하지 않음
45,금천고등학교,4,-60,보통
46,금호고등학교,1,-100,매우 안전
47,남강고등학교,4,-60,보통
48,노원고등학교,0,-20,매우 안전하지 않음
49,누원고등학교,3,-40,안전하지 않음
50,단국대학교부속소프트웨어고등학교,1,-100,매우 안전
51,단국대학교사범대학부속고등학교,1,-100,매우 안전
52,당곡고등학교,4,-60,보통
53,대경생활과학고등학교,1,-100,매우 안전
54,대광고등학교,4,-60,보통
55,대동세무고등학교,0,-20,매우 안전하지 않음
56,대성고등학교,0,-20,매우 안전하지 않음
57,대신고등학교,3,-40,안전하지 않음
58,대영고등학교,4,-60,보통
59,대원고등학교,3,-40,안전하지 않음
60,대원여자고등학교,3,-40,안전하지 않음
61,대원외국어고등학교,3,-40,안전하지 않음
62,대일고등학교,4,-60,보통
63,대일관광고등학교,0,-20,매우 안전하지 않음
64,대일외국어고등학교,0,-20,매우 안전하지 않음
65,대진고등학교,0,-20,매우 안전하지 않음
66,대진디자인고등학교,0,-20,매우 안전하지 않음
67,대진여자고등학교,3,-40,안전하지 않음
68,덕성여자고등학교,3,-40,안전하지 않음
69,덕수고등학교,2,-80,안전
70,덕원여자고등학교,3,-40,안전하지 않음
71,덕원예술고등학교,3,-40,안전하지 않음
72,덕일전자공업고등학교,3,-40,안전하지 않음
73,도봉고등학교,0,-20,매우 안전하지 않음
74,도선고등학교,1,-100,매우 안전
75,독산고등학교,4,-60,보통
76,동구마케팅고등학교,2,-80,안전
