,학교명,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도
0,가락고등학교,1.0,0.0,1.0,0.0,0,20,5,안전
1,가재울고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
2,강동고등학교,0.0,0.0,1.0,1.0,0,60,2,주의
3,강서고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
4,강서공업고등학교,0.6666666666666666,0.0,0.3333333333333333,1.0,1,40,4,보통
5,강일고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
6,개포고등학교,0.5,0.0,0.5,0.5,1,40,4,보통
7,건국대학교사범대학부속고등학교,0.5,0.5,0.0,0.0,1,0,0,매우 안전
8,경기고등학교,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,0,매우 안전
9,경기기계공업고등학교,0.5,0.0,0.0,1.0,0,40,4,보통
10,경기상업고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
11,경기여자고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
12,경동고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
13,경문고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
14,경복고등학교,0.0,1.0,1.0,1.0,0,0,0,매우 안전
15,경복비즈니스고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
16,경복여자고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
17,경성고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
18,경신고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
19,경인고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
20,경일고등학교,0.5,0.5,0.5,0.5,0,0,0,매우 안전
21,경희고등학교,1.0,0.0,1.0,1.0,3,20,5,안전
22,경희여자고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
23,계성고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
24,고려대학교사범대학부속고등학교,0.0,0.0,1.0,0.0,0,60,2,주의
25,고명외식고등학교,1.0,1.0,0.0,1.0,8,0,0,매우 안전
26,고척고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
27,공항고등학교,0.5,0.0,0.0,1.0,1,40,4,보통
28,관악고등학교,0.5,0.0,0.0,0.0,0,100,1,매우 위험
29,광남고등학교,0.5,0.5,0.0,0.5,1,0,0,매우 안전
30,광문고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
31,광성고등학교,0.0,0.0,0.0,0.0,6,100,1,매우 위험
32,광신고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
33,광신방송예술고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
34,광양고등학교,0.5,0.0,0.0,0.0,0,100,1,매우 위험
35,광영고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
36,광영여자고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
37,광운인공지능고등학교,0.5,0.5,0.0,0.5,0,0,0,매우 안전
38,구로고등학교,0.0,0.0,0.0,0.0,6,100,1,매우 위험
39,구암고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
40,구일고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
41,구현고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
42,국립국악고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
43,국립전통예술고등학교,1.0,0.0,0.0,1.0,1,40,4,보통
44,금옥여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
45,금천고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
46,금호고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
47,남강고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
48,노원고등학교,0.0,0.5,0.0,0.0,0,0,0,매우 안전
49,누원고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
50,단국대학교부속소프트웨어고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
51,단국대학교사범대학부속고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
52,당곡고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
53,대경생활과학고등학교,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0,0,0,매우 안전
54,대광고등학교,0.0,0.0,1.0,0.0,16,80,3,위험
