,학교명,위해지표_score,경감지표_score,total_score,종합_위험도
0,가락고등학교,20,-20,22.009758025979473,안전
1,가재울고등학교,100,-20,41.95342124197851,위험
2,강동고등학교,60,-20,35.50411264562896,위험
3,강서고등학교,100,-100,28.336669629046675,보통
4,강서공업고등학교,40,-40,35.04614573199677,보통
5,강일고등학교,100,-80,29.347232645628957,보통
6,개포고등학교,40,-20,13.712003905190665,매우안전
7,건국대학교사범대학부속고등학교,0,-40,16.421938570206187,매우안전
8,경기고등학교,0,-100,-19.111596094809343,매우안전
9,경기기계공업고등학교,40,-20,38.78166913430498,위험
10,경기상업고등학교,40,-20,19.787699192282048,안전
11,경기여자고등학교,40,-20,13.712003905190665,매우안전
12,경동고등학교,100,-80,27.20660173034028,보통
13,경문고등학교,100,-60,28.55481164773387,보통
14,경복고등학교,0,-80,-7.467260807717956,매우안전
15,경복비즈니스고등학교,100,-40,50.869705731996774,매우위험
16,경복여자고등학교,100,-40,50.869705731996774,매우위험
17,경성고등학교,100,-80,20.680747643852634,안전
18,경신고등학교,20,-100,-7.761380807717956,매우안전
19,경인고등학교,100,-20,53.29804121520222,매우위험
20,경일고등학교,0,-60,0.8508765998842271,매우안전
21,경희고등학교,20,-40,20.955251729561905,안전
22,경희여자고등학교,100,-40,42.053331729561904,위험
23,계성고등학교,100,-40,38.343881730340286,위험
24,고려대학교사범대학부속고등학교,60,-20,33.36348173034028,보통
25,고명외식고등학교,0,-60,6.402641730340282,매우안전
26,고척고등학교,100,-60,42.16076121520222,위험
27,공항고등학교,40,-20,40.614785731996776,위험
28,관악고등학교,100,-20,32.43367738152229,보통
29,광남고등학교,0,-40,16.421938570206187,매우안전
30,광문고등학교,100,-20,46.053152645628955,매우위험
31,광성고등학교,100,-20,37.38666764385263,위험
32,광신고등학교,100,-20,56.454941332062376,매우위험
33,광신방송예술고등학교,100,-20,56.454941332062376,매우위험
34,광양고등학교,100,-60,37.22589857020619,위험
35,광영고등학교,100,-80,33.90530962904668,보통
36,광영여자고등학교,40,-80,18.081749629046676,안전
37,광운인공지능고등학교,0,-60,17.095349134304982,안전
38,구로고등학교,100,-60,42.16076121520222,위험
39,구암고등학교,100,-20,56.454941332062376,매우위험
40,구일고등학교,100,-20,53.29804121520222,매우위험
41,구현고등학교,100,-80,36.59212121520222,위험
42,국립국악고등학교,100,-100,7.2610039051906625,매우안전
43,국립전통예술고등학교,40,-60,35.1537980797439,위험
44,금옥여자고등학교,100,-20,50.611229629046676,매우위험
45,금천고등학교,100,-60,50.9773580797439,매우위험
46,금호고등학교,100,-100,16.086196599884225,매우안전
47,남강고등학교,40,-60,29.494101332062378,보통
48,노원고등학교,0,-20,28.23262913430498,보통
49,누원고등학교,100,-40,56.41666369002516,매우위험
