시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일
B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,서울특별시,서울특별시교육청,공립,05678 ,서울특별시 송파구 송이로 42,(송파동/가락고등학교),02-416-4658,http://garak.sen.hs.kr,남여공학,02-421-9669,일반고,N,일반계,,후기,주간,19881223,19890428,20230205
B10,서울특별시교육청,7130165,가락중학교,Karak Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05673 ,서울특별시 송파구 송이로 45,(송파동/가락중학교),02-2143-3102,http://www.karak.ms.kr,남여공학,02-2143-3119,,N,일반계,,전기,주간,19860129,19860506,20230205
B10,서울특별시교육청,7041164,가산중학교,Gasan Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08584 ,서울특별시 금천구 시흥대로115길 48,(독산동),02-804-1777,http://www.gasan.ms.kr,남여공학,02-892-8477,,N,일반계,,전기,주간,19700810,19710303,20230205
B10,서울특별시교육청,7130166,가원중학교,Gawon Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05831 ,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교),02-409-2179,www.gawon.ms.kr,남여공학,02-443-5825,,N,일반계,,전기,주간,19881224,19881224,20230205
B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,서울특별시,서울특별시교육청,공립,03709 ,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,남여공학,02-307-6605,일반고,N,일반계,,후기,주간,20130301,20130501,20230205
B10,서울특별시교육청,7031261,가재울중학교,Gajaeul Middle School,중학교,서울특별시,서울특별시서부교육지원청,공립,03790 ,서울특별시 서대문구 수색로 100-75,(북가좌동/ 가재울중학교),02-726-1700,http://gajaeul.sen.ms.kr,남여공학,02-726-1799,,N,해당없음,,후기,주간,20130301,20130521,20230205
B10,서울특별시교육청,7132123,강남중학교,Gangnam Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,06955 ,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교),02-814-5637,http://www.kangnam.ms.kr,남여공학,02-823-4226,,N,일반계,,전기,주간,19590403,19590403,20230205
B10,서울특별시교육청,7010117,강동고등학교,Kangdong High School,고등학교,서울특별시,서울특별시교육청,사립,05279 ,서울특별시 강동구 구천면로 572,(상일동),02-427-0231,http://kangdong.sen.hs.kr,남여공학,02-441-3494,일반고,N,일반계,,후기,주간,19841217,19850908,20230205
B10,서울특별시교육청,7130167,강동중학교,GANGDONG MIDDLE SCHOOL,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05208 ,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동),02-481-1503,http://www.gang-dong.ms.kr,남여공학,02-481-1504,,N,해당없음,,전기,주간,20100301,20100301,20230205
B10,서울특별시교육청,7130168,강명중학교,GANGMYOUNG MIDDLE SCHOOL,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05285 ,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교),02-440-3200,http://www.gangmyoung.ms.kr,남여공학,02-428-7377,,N,해당없음,,전기,주간,20120301,20120506,20230205
B10,서울특별시교육청,7121341,강북중학교,Kangbuk Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,공립,01051 ,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교),02-999-4104,http://www.kangbuk.ms.kr/,남여공학,02-993-3465,,N,일반계,,전기,주간,19801227,19801227,20230205
B10,서울특별시교육청,7130268,강빛중학교,Gangbit middle school,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05201 ,서울특별시 강동구 아리수로93다길 1,(강일동/ 강빛초중통합학교),02-6951-3964,http://gbm.sen.ms.kr,남여공학,02-6951-3966,,N,,,전후기,주간,20210301,20210301,20230205
