순서, 컬럼영문명, 컬럼한글명, 데이터타입, 길이, PK여부, NOT NULL여부
1,ACPT_YM,접수년월,CHAR,6,Y,N
2,PLCST_NM,경찰서명,VARCHAR,255,Y,N
3,RPRT_CASCNT_WHOL,신고건수전체,NUMBER,30,N,Y
4,RPRT_SEX_MALE,신고성별남성,NUMBER,30,N,Y
5,RPRT_SEX_FMLE,신고성별여성,NUMBER,30,N,Y
6,RPRT_SEX_UNKWN,신고성별불상,NUMBER,30,N,Y
7,RPRT_SEX_ETC,신고성별기타,NUMBER,30,N,Y
8,ACPT_EMERG_TYPE_EMERG,접수긴급유형긴급,NUMBER,30,N,Y
9,ACPT_EMERG_TYPE_IMPRTNC,접수긴급유형중요,NUMBER,30,N,Y
10,ACPT_EMERG_TYPE_GNRL,접수긴급유형일반,NUMBER,30,N,Y
11,ACPT_EMERG_TYPE_CVAPP,접수긴급유형민원,NUMBER,30,N,Y
12,ACPT_EMERG_TYPE_ETC,접수긴급유형기타,NUMBER,30,N,Y
13,CFINC_DSTVC,사건종별가정폭력,NUMBER,30,N,Y
14,CFINC_DTVC,사건종별데이트폭력,NUMBER,30,N,Y
15,CFINC_MRDR,사건종별살인,NUMBER,30,N,Y
16,CFINC_SVLNC,사건종별성폭력,NUMBER,30,N,Y
17,CFINC_SUCD,사건종별자살,NUMBER,30,N,Y
18,CFINC_INCVLC,사건종별폭력,NUMBER,30,N,Y
19,CFINC_ETC,사건종별기타,NUMBER,30,N,Y
20,OCRN_DOTW_SNDD,발생요일일요일,NUMBER,30,N,Y
21,OCRN_DOTW_MON,발생요일월요일,NUMBER,30,N,Y
22,OCRN_DOTW_TUE,발생요일화요일,NUMBER,30,N,Y
23,OCRN_DOTW_WED,발생요일수요일,NUMBER,30,N,Y
24,OCRN_DOTW_THU,발생요일목요일,NUMBER,30,N,Y
25,OCRN_DOTW_FRI,발생요일금요일,NUMBER,30,N,Y
26,OCRN_DOTW_SAT,발생요일토요일,NUMBER,30,N,Y
27,MNTH_AVE_INCOME_AMT,월평균소득금액,NUMBER,30,N,Y
28,TOTL_RESID_PUL_CNT,총상주인구수,NUMBER,30,N,Y
